Open,High,Low,Close,Volume
36.784145853458895,37.724590460067255,36.6274044817337,37.50372695922852,148158800
34.19317547745964,34.60640172363963,33.72295500680148,33.7680778503418,365248800
34.32379724419946,35.27849047559891,34.1504337518255,35.209617614746094,234428400
35.31410959435231,35.34498388334802,34.64914915949289,35.13124465942383,219111200
35.518340693165854,36.05506039185335,35.2713572988194,35.80094909667969,164101200
35.929190786032024,36.6986453479839,35.534967488442895,36.408912658691406,180396400
36.21654804479655,36.565652109291655,35.82707186978907,36.5252799987793,143122800
36.306798636311406,36.50153493832651,35.98144090958733,36.16667938232422,108092800
35.82470125952503,35.924444768462564,35.437598603803195,35.62283706665039,129756800
35.68696444823326,36.42791840883774,35.634717322934954,36.35192489624024,114843600
36.35429336518652,37.01925372022599,36.33529408375769,36.796016693115234,122278800
36.62027276354135,37.44197439864599,36.3970357565118,37.01449966430664,119284800
37.4039811406747,37.49422682619904,37.043002022319946,37.24249267578125,135004000
37.145127995415336,37.2211215121317,36.2450554347819,36.40654754638672,121576000
36.60840409054777,36.84351614102213,36.02656509052752,36.55378341674805,92522400
36.59891663750267,36.68678517553782,36.03607676090995,36.26406097412109,101766000
36.92426561509673,37.55360472379612,36.64878503179591,37.46573257446289,134142000
36.997883309964045,37.1261275746307,36.49204140125868,37.11900329589844,104768400
37.10712999950282,37.553604147254646,36.59891089197935,36.73427581787109,166348800
38.76952796047286,39.45823481777731,38.05232036425895,39.24449920654297,244439200
39.448740356323015,40.13507372055917,39.08063688443312,39.5271110534668,162958400
39.65059867839811,40.13031699712782,39.405985168485806,39.54610443115234,130672400
39.757463103861134,40.76677685151774,39.72658881786463,40.66940689086914,125982000
41.05175152470589,41.5789697254178,40.93063520109331,41.365230560302734,144406400
41.47685241143466,41.6953423197784,41.04938129411188,41.379486083984375,112958400
40.94252167255768,41.30825157661004,40.45330184846197,40.595794677734375,126966800
40.30481062542633,40.70311205010361,40.16886153665804,40.64348602294922,95280000
40.79613104681893,40.83429258000177,40.36682289672223,40.40975189208984,83973600
40.56955604622166,40.78420831850001,40.47415220576565,40.75797271728516,89134000
40.87722227186637,41.13719089744632,40.52662091325393,40.58863067626953,89960800
40.476531198600185,40.84620963108841,40.39782441124615,40.73649978637695,87342800
40.84383672437436,40.95116286674207,40.486080490292245,40.645877838134766,98507200
40.476530193148335,40.88914124452737,40.42405900288239,40.76750183105469,75891200
40.82951887269788,41.33753378782997,40.78181877890572,41.02986145019531,104457600
40.9750096836761,41.11095514343004,40.61725349372424,40.79851531982422,68998800
40.922553385514696,41.26122893194123,40.87485327067591,41.25407409667969,75652800
41.5378796626074,41.94571968208125,41.48779219461515,41.55457305908203,87493600
41.430551160576144,41.80977182764234,41.30175690127716,41.57842254638672,68280800
41.31130028159647,41.73822105568102,41.196815683559215,41.70721435546875,111341600
41.57604632138093,41.71676290033313,41.24213831860219,41.296993255615234,112861600
41.56649542685582,41.77399283512558,41.234974864095655,41.73106384277344,103544800
41.90279076717496,42.39410868782575,41.4925633764932,41.94095230102539,109744800
41.96241540063605,41.97672506553204,41.62850744949889,41.864627838134766,78949600
41.65951531314144,41.85509044360624,41.485408319904245,41.62374114990234,83241600
41.468717309443846,41.60466642807359,41.0274867951546,41.1419677734375,99185600
40.622028843980345,41.27791526082564,40.42645369282808,41.23975372314453,95997600
41.855095772839455,42.72086338701754,41.82170533647012,42.66839218139648,128044000
42.93074174869042,43.56754731458191,42.7804829879991,43.14778137207031,129870400
43.46737934842093,43.71780942231808,43.15016840672244,43.33858871459961,124130000
43.8609111740343,43.908614914858006,43.54131649050845,43.82036590576172,94318000
44.08748706861486,44.67897625421365,43.82274735566281,44.390384674072266,156171600
44.31406081869042,44.93178554071585,44.31167344863982,44.84354019165039,104879200
44.92226139953133,45.07490392114361,44.34269438014027,44.48818206787109,126585600
44.41663055512888,45.194156478384144,44.05887430016893,44.87694549560547,124140800
45.320555849510406,46.82551632911591,45.2704683808724,46.52976989746094,204136800
46.58939664841029,47.14988281885893,45.501818379976086,45.56621551513672,169630800
45.67591243250968,45.78800963482693,44.504860232689936,45.0152587890625,175381200
45.71169595103682,46.00267123954299,44.023086513229856,44.55017852783203,199202000
45.01765519484567,45.25854305952079,44.49294682904075,44.95087432861328,119393600
45.065356795101245,45.21084446694415,44.72668135098658,45.010501861572266,83121600
45.27524419135474,45.33487023011922,44.96757179333069,45.30386352539063,94256000
45.706941966538885,45.71648053267406,44.929419631902334,45.61154174804688,111448000
45.57575525688568,46.37951668371144,45.56621669256709,46.27457427978516,91062800
46.09091773138408,46.86605606321849,46.06706586546028,46.59177780151367,93087200
46.45821095273188,46.83504785864529,46.06468065263587,46.67286682128906,76457200
46.85413541671345,47.00916528414231,46.7301122506272,46.985313415527344,74106400
46.846977201039394,47.75567728467312,46.82789643538214,47.72467422485352,103526800
47.7771447875635,48.380559891254,47.51717254330135,47.58156967163086,143072800
47.38599528748367,47.87731681584689,47.26674323132718,47.84869384765625,86781200
47.90354983462724,47.93932399383451,47.32875408147207,47.45038986206055,83603200
47.51001935632242,47.73421380848301,46.796894375967724,47.43131256103516,111042800
47.362151350453125,47.66505261953051,47.22620224726255,47.51717758178711,70146400
