Open,High,Low,Close,Volume,Target,MA_10,MA_50,Return,Volatility
43.8609111740343,43.908614914858006,43.54131649050845,43.82036590576172,94318000,44.390384674072266,42.25172348022461,39.373998107910154,0.011116586982903076,0.01255670537483638
44.08748706861486,44.67897625421365,43.82274735566281,44.390384674072266,156171600,44.84354019165039,42.517655563354495,39.51173126220703,0.01300807869875853,0.012680194691329912
44.31406081869042,44.93178554071585,44.31167344863982,44.84354019165039,104879200,44.48818206787109,42.807914352416994,39.7332405090332,0.01020841609968759,0.0127296441172973
44.92226139953133,45.07490392114361,44.34269438014027,44.48818206787109,126585600,44.87694549560547,43.07026977539063,39.9188117980957,-0.007924399417632677,0.01332085033550557
44.41663055512888,45.194156478384144,44.05887430016893,44.87694549560547,124140800,46.52976989746094,43.395590209960936,40.11372581481933,0.008738577520234214,0.012650230232401454
45.320555849510406,46.82551632911591,45.2704683808724,46.52976989746094,204136800,45.56621551513672,43.93437042236328,40.328302230834964,0.0368301448238566,0.013704345101138537
46.58939664841029,47.14988281885893,45.501818379976086,45.56621551513672,169630800,45.0152587890625,44.3670166015625,40.511448287963866,-0.0207083418733347,0.017113042161072928
45.67591243250968,45.78800963482693,44.504860232689936,45.0152587890625,175381200,44.55017852783203,44.6017032623291,40.68124786376953,-0.01209134267231815,0.016030359013542515
45.71169595103682,46.00267123954299,44.023086513229856,44.55017852783203,199202000,44.95087432861328,44.741942977905275,40.84891784667969,-0.010331613629276148,0.016610822476852232
45.01765519484567,45.25854305952079,44.49294682904075,44.95087432861328,119393600,45.010501861572266,44.90317153930664,41.035478591918945,0.008994258025945223,0.016706965869857548
45.065356795101245,45.21084446694415,44.72668135098658,45.010501861572266,83121600,45.30386352539063,45.02218513488769,41.20865013122559,0.0013265044084143085,0.016515289118607487
45.27524419135474,45.33487023011922,44.96757179333069,45.30386352539063,94256000,45.61154174804688,45.11353302001953,41.378807067871094,0.006517627035588003,0.016194174283004837
45.706941966538885,45.71648053267406,44.929419631902334,45.61154174804688,111448000,46.27457427978516,45.19033317565918,41.5507479095459,0.006791434520453388,0.01604071099233567
45.57575525688568,46.37951668371144,45.56621669256709,46.27457427978516,91062800,46.59177780151367,45.36897239685059,41.73138954162598,0.014536507785700481,0.01609797582545121
46.09091773138408,46.86605606321849,46.06706586546028,46.59177780151367,93087200,46.67286682128906,45.5404556274414,41.93509414672852,0.006854812316816394,0.016048093958454072
46.45821095273188,46.83504785864529,46.06468065263587,46.67286682128906,76457200,46.985313415527344,45.55476531982422,42.13747581481934,0.0017404148028186128,0.011120787553290086
46.85413541671345,47.00916528414231,46.7301122506272,46.985313415527344,74106400,47.72467422485352,45.69667510986328,42.35190086364746,0.006694394741909582,0.008393383154409118
46.846977201039394,47.75567728467312,46.82789643538214,47.72467422485352,103526800,47.58156967163086,45.967616653442384,42.55707969665527,0.01573599824241767,0.007343264113175393
47.7771447875635,48.380559891254,47.51717254330135,47.58156967163086,143072800,47.84869384765625,46.270755767822266,42.76633102416992,-0.0029985443703277603,0.0057335077570710175
47.38599528748367,47.87731681584689,47.26674323132718,47.84869384765625,86781200,47.45038986206055,46.56053771972656,42.98861938476563,0.005614026142240824,0.0056773020729172395
47.90354983462724,47.93932399383451,47.32875408147207,47.45038986206055,83603200,47.43131256103516,46.80452651977539,43.15273719787598,-0.008324239463335159,0.007222990042308238
47.51001935632242,47.73421380848301,46.796894375967724,47.43131256103516,111042800,47.51717758178711,47.01727142333984,43.31082122802734,-0.0004020472978376599,0.007423772624561355
47.362151350453125,47.66505261953051,47.22620224726255,47.51717758178711,70146400,47.52193832397461,47.207835006713864,43.47024269104004,0.0018103024376872057,0.007429313567329037
47.57202578246403,48.02756581308935,47.35736992515956,47.52193832397461,102785600,48.44735336303711,47.33257141113281,43.60729331970215,0.00010018991930449417,0.006529801261315459
47.59112062429385,48.506979405717246,47.369313492380456,48.44735336303711,115627200,48.62145614624024,47.51812896728516,43.748935775756834,0.019473427888265116,0.008382177442002443
48.44496176516435,48.69062074842897,48.30186145878901,48.62145614624024,96783200,48.78125,47.71298789978027,43.893775177001956,0.0035936490049002234,0.008348453911135215
48.37579370201741,48.87903756789539,48.25892536678017,48.78125,77758000,49.484840393066406,47.89258155822754,44.057484283447266,0.0032864884440964026,0.008301554175828237
48.75740200226944,49.54923753304765,48.63099509296689,49.484840393066406,93292000,49.40851974487305,48.06859817504883,44.23431137084961,0.014423377692584838,0.00809958122097795
49.45621984620272,49.72334332507646,49.38228414324906,49.40851974487305,70162400,48.96013641357422,48.25129318237305,44.41428672790527,-0.0015423036143419333,0.007978801330196433
49.32981861011938,49.55162574447555,48.92197487241029,48.96013641357422,74172800,48.72639846801758,48.36243743896485,44.578330001831056,-0.00907502053520548,0.008906593430902245
48.869498774138975,48.893350644801465,48.20645752970833,48.72639846801758,74596400,48.80033874511719,48.490038299560545,44.741085357666016,-0.004774046043953373,0.008495814695995212
48.75025126774611,49.124704564386754,48.62146061623952,48.80033874511719,88818800,47.860626220703125,48.62694091796875,44.90236213684082,0.0015174582859462937,0.00843970609075738
48.43065098025572,48.51174151592459,47.48856033771944,47.860626220703125,186139600,50.20988464355469,48.66128578186035,45.04665710449219,-0.01925627052144363,0.01098283963916933
50.05724216362862,51.352317692477015,49.90221231353754,50.20988464355469,259309200,49.88314437866211,48.93008041381836,45.23550476074219,0.049085409205016584,0.018794561485261273
50.04771283388919,50.71790895155389,49.63987275199008,49.88314437866211,127985200,50.50325775146485,49.07365951538086,45.41257041931152,-0.006507488858262467,0.018467818384502017
50.298144020692696,50.52472225323192,50.140730395831206,50.50325775146485,83569600,49.72333908081055,49.26183967590332,45.60666526794434,0.012431320850495586,0.0187053228515403
48.72400621236716,49.8092007115888,48.53558955444818,49.72333908081055,129772400,48.38294982910156,49.356048583984375,45.77605056762695,-0.015442937849522886,0.019691796597781384
49.10323334856584,49.47052812168986,47.898786717614094,48.38294982910156,155054800,48.39249420166016,49.24585952758789,45.91261810302734,-0.026956943690579216,0.02110804512191139
48.15399003380716,48.974444953507046,48.11821586434312,48.39249420166016,105358000,47.87254333496094,49.1442569732666,46.048899536132815,0.00019726727271307531,0.02111987796745903
47.79622027595835,48.10150523340118,46.90421726938912,47.87254333496094,139634400,47.2093391418457,49.03549766540527,46.17220611572266,-0.010744452735428345,0.021189570205368585
47.26680187205951,47.609178036306886,46.15348841724261,47.2093391418457,164834800,44.46557235717773,48.88379173278808,46.290453033447264,-0.013853539981672602,0.021511572932667547
44.942024719152,45.36580015551606,43.778430559260165,44.46557235717773,229722400,45.16947555541992,48.45031509399414,46.345143203735354,-0.05811915257750222,0.027552766879395375
44.63077462238211,45.41847349035006,44.39135198547642,45.16947555541992,146118800,45.7105598449707,48.18120002746582,46.409713668823244,0.015830296585141568,0.02831331368264284
44.59724627738985,45.90928103046059,44.53739063067478,45.7105598449707,106178800,45.50944519042969,47.73126754760742,46.48663230895996,0.01197898100204653,0.022135639185906435
45.468743789558665,46.08166501987308,45.21255987117796,45.50944519042969,132125600,45.25087356567383,47.29389762878418,46.564346389770506,-0.0043997416619508956,0.022173268280905854
